categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,44.5,donna,ASICS,TRABUCO TERRA 2 - Scarpe da trail running - black/huddle yellow,119.99,119.99,https://www.zalando.it/asics-trabuco-terra-2-scarpe-da-trail-running-blackhuddle-yellow-as141a15k-q14.html?size=44.5,TRABUCO TERRA 2,scarpe da trail running,black/huddle yellow
Scarpe Sportive,44.5,donna,ASICS,MAGIC SPEED 4 - Scarpe da corsa su strada - soothing sea/black,179.99,179.99,https://www.zalando.it/asics-magic-speed-4-scarpe-da-corsa-su-strada-soothing-seablack-as141a195-k11.html?size=44.5,MAGIC SPEED 4,scarpe da corsa su strada,soothing sea/black
Scarpe Sportive,44.5,donna,ASICS,GEL-PULSE 16 - Scarpe da corsa su strada - wave teal/soothing sea,109.99,109.99,https://www.zalando.it/asics-gel-pulse-16-scarpe-da-corsa-su-strada-wave-tealsoothing-sea-as141a1ag-k11.html?size=44.5,GEL pulse 16,scarpe da corsa su strada, wave teal/soothing sea
Scarpe Sportive,44.5,donna,PUMA,RETALIATE 3 - Scarpe da corsa su strada - for all time red black,38.95,75.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-stabili-for-all-time-red-black-pu115o0wk-g11.html?size=44.5,RETALIATE 3,scarpe da corsa su strada,for all time red black
Scarpe Sportive,44.5,donna,PUMA,CELL THRILL UNISEX - Scarpe da allenamento - for all time red/black,55.49,64.99,https://www.zalando.it/puma-cell-thrill-unisex-scarpe-da-allenamento-for-all-time-redblack-pu144a0by-g11.html?size=44.5,CELL THRILL UNISEX,scarpe da allenamento,for all time red/black
Scarpe Sportive,44.5,donna,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - nova orange/light ube,159.99,159.99,https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-nova-orangelight-ube-as141a1a7-h11.html?size=44.5,GEL trabuco 13,scarpe da trail running, nova orange/light ube
Scarpe Sportive,44.5,donna,ASICS,JOLT 5 - Scarpe da corsa su strada - greyish purple/coral reef,59.99,59.99,https://www.zalando.it/asics-jolt-5-scarpe-da-corsa-su-strada-greyish-purplecoral-reef-as141a1ak-i11.html?size=44.5,JOLT 5,scarpe da corsa su strada,greyish purple/coral reef
Scarpe Sportive,44.5,donna,UNDER ARMOUR,CURRY SPLASH 24 - Scarpe da basket - royal,147.0,147.0,https://www.zalando.it/under-armour-curry-splash-24-scarpe-da-basket-royal-un244a036-k12.html?size=44.5,CURRY SPLASH 24,scarpe da basket,royal
Scarpe Sportive,44.5,donna,PUMA,MB.04 PHOENIX - Scarpe da basket - red/orange glow/fluro orange/purple glimmer,124.99,124.99,https://www.zalando.it/puma-mb04-phoenix-scarpe-da-basket-redorange-glowfluro-orangepurple-glimmer-pu142a1xp-g11.html?size=44.5,MB.04 PHOENIX,scarpe da basket,red/orange glow/fluro orange/purple glimmer
Scarpe Sportive,44.5,donna,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - light ube/pure aqua,159.99,159.99,https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-light-ubepure-aqua-as141a1a7-j11.html?size=44.5,GEL trabuco 13,scarpe da trail running, light ube/pure aqua
Scarpe Sportive,44.5,donna,PUMA,SKYROCKET LITE - Scarpe da trail running - loden green black,41.95,60.0,https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-loden-green-black-pu142a1xo-m11.html?size=44.5,SKYROCKET LITE,scarpe da trail running,loden green black
Scarpe Sportive,44.5,donna,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - black/anthracite/tetra gray,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-trail-scarpe-da-trail-running-blackanthracitetetra-gray-un242a0mq-q11.html?size=44.5,INFINITE PRO UNISEX,scarpe da trail running,black/anthracite/tetra gray
Scarpe Sportive,44.5,donna,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=44.5,MORPHIC,scarpe da corsa su strada,white silver team royal
Scarpe Sportive,44.5,donna,ASICS,GEL-VENTURE 10 - Scarpe da trail running - black/graphite grey,79.99,79.99,https://www.zalando.it/asics-gel-venture-10-scarpe-da-trail-running-blackgraphite-grey-as141a1ah-q11.html?size=44.5,GEL venture 10,scarpe da trail running, black/graphite grey
Scarpe Sportive,44.5,donna,ASICS,GT-1000 13 - Scarpe da corsa su strada - white/coral reef,129.99,129.99,https://www.zalando.it/asics-gt-1000-13-scarpe-da-corsa-su-strada-whitecoral-reef-as141a18x-a11.html?size=44.5,GT 1000 13,scarpe da corsa su strada, white/coral reef
Scarpe Sportive,44.5,donna,MIZUNO,THUNDER BLADE Z - Scarpe da pallavolo - white/bellwether blue/bel air blue,71.99,79.99,https://www.zalando.it/mizuno-thunder-blade-z-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0lh-a11.html?size=44.5,THUNDER BLADE Z,scarpe da pallavolo,white/bellwether blue/bel air blue
Scarpe Sportive,44.5,donna,ASICS,MAGIC SPEED 4 - Scarpe da corsa su strada - white/black,179.99,179.99,https://www.zalando.it/asics-magic-speed-4-scarpe-da-corsa-su-strada-whiteblack-as141a195-a12.html?size=44.5,MAGIC SPEED 4,scarpe da corsa su strada,white/black
Scarpe Sportive,44.5,donna,ASICS,GT-2000 13 TR - Scarpe da corsa su strada - nature bathing/guava,159.99,159.99,https://www.zalando.it/asics-gt-2000-13-tr-scarpe-da-corsa-su-strada-nature-bathingguava-as141a1aq-b11.html?size=44.5,GT 2000 13 tr,scarpe da corsa su strada, nature bathing/guava
Scarpe Sportive,44.5,donna,PUMA,SOFTRIDE ENZO 5 BIOTIC WRAP UNISEX - Scarpe da allenamento - cool light gray/vivid blue/navy,63.99,74.99,https://www.zalando.it/puma-softride-enzo-5-biotic-wrap-unisex-scarpe-da-allenamento-cool-light-grayvivid-bluenavy-pu144a0cy-c11.html?size=44.5,SOFTRIDE ENZO 5 BIOTIC WRAP UNISEX,scarpe da allenamento,cool light gray/vivid blue/navy
